movieId,title,genres,imdbId,tmdbId,title_clean,combined
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,copycat,copycat Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,assassins,assassins Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi,114168,12665.0,powder,powder Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,leaving las vegas,leaving las vegas Drama|Romance
26,Othello (1995),Drama,114057,16420.0,othello,othello Drama
27,Now and Then (1995),Children|Drama,114011,9263.0,now and then,now and then Children|Drama
28,Persuasion (1995),Drama|Romance,114117,17015.0,persuasion,persuasion Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,city of lost children the,city of lost children the Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557.0,shanghai triad,shanghai triad Crime|Drama
31,Dangerous Minds (1995),Drama,112792,9909.0,dangerous minds,dangerous minds Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,twelve monkeys,twelve monkeys Mystery|Sci-Fi|Thriller
34,Babe (1995),Children|Drama,112431,9598.0,babe,babe Children|Drama
36,Dead Man Walking (1995),Crime|Drama,112818,687.0,dead man walking,dead man walking Crime|Drama
38,It Takes Two (1995),Children|Comedy,113442,33689.0,it takes two,it takes two Children|Comedy
39,Clueless (1995),Comedy|Romance,112697,9603.0,clueless,clueless Comedy|Romance
40,"Cry, the Beloved Country (1995)",Drama,112749,34615.0,cry the beloved country,cry the beloved country Drama
41,Richard III (1995),Drama|War,114279,31174.0,richard iii,richard iii Drama|War
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443.0,dead presidents,dead presidents Action|Crime|Drama
43,Restoration (1995),Drama,114272,35196.0,restoration,restoration Drama
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312.0,mortal kombat,mortal kombat Action|Adventure|Fantasy
45,To Die For (1995),Comedy|Drama|Thriller,114681,577.0,to die for,to die for Comedy|Drama|Thriller
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861.0,how to make an american quilt,how to make an american quilt Drama|Romance
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,seven,seven Mystery|Thriller
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530.0,pocahontas,pocahontas Animation|Children|Drama|Musical|Romance
49,When Night Is Falling (1995),Drama|Romance,114916,8391.0,when night is falling,when night is falling Drama|Romance
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,usual suspects the,usual suspects the Crime|Mystery|Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448.0,mighty aphrodite,mighty aphrodite Comedy|Drama|Romance
53,Lamerica (1994),Adventure|Drama,110299,49133.0,lamerica,lamerica Adventure|Drama
54,"Big Green, The (1995)",Children|Comedy,112499,26441.0,big green the,big green the Children|Comedy
55,Georgia (1995),Drama,113158,97406.0,georgia,georgia Drama
57,Home for the Holidays (1995),Drama,113321,9089.0,home for the holidays,home for the holidays Drama
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010.0,postman the,postman the Comedy|Drama|Romance
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359.0,indian in the cupboard the,indian in the cupboard the Adventure|Children|Fantasy
61,Eye for an Eye (1996),Drama|Thriller,116260,17182.0,eye for an eye,eye for an eye Drama|Thriller
62,Mr. Holland's Opus (1995),Drama,113862,2054.0,mr holland s opus,mr holland s opus Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607.0,don t be a menace to south central while drinking your juice in the hood,don t be a menace to south central while drinking your juice in the hood Comedy|Crime
64,Two if by Sea (1996),Comedy|Romance,118002,19760.0,two if by sea,two if by sea Comedy|Romance
65,Bio-Dome (1996),Comedy,115683,9536.0,bio dome,bio dome Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525.0,lawnmower man 2 beyond cyberspace,lawnmower man 2 beyond cyberspace Action|Sci-Fi|Thriller
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482.0,french twist,french twist Comedy|Romance
69,Friday (1995),Comedy,113118,10634.0,friday,friday Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755.0,from dusk till dawn,from dusk till dawn Action|Comedy|Horror|Thriller
71,Fair Game (1995),Action,113010,11859.0,fair game,fair game Action
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387.0,kicking and screaming,kicking and screaming Comedy|Drama
73,"Misérables, Les (1995)",Drama|War,113828,48750.0,mis rables les,mis rables les Drama|War
74,Bed of Roses (1996),Drama|Romance,115644,20927.0,bed of roses,bed of roses Drama|Romance
75,Big Bully (1996),Comedy|Drama,115676,36929.0,big bully,big bully Comedy|Drama
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102.0,screamers,screamers Action|Sci-Fi|Thriller
77,Nico Icon (1995),Documentary,113973,124626.0,nico icon,nico icon Documentary
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526.0,crossing guard the,crossing guard the Action|Crime|Drama|Thriller
79,"Juror, The (1996)",Drama|Thriller,116731,9623.0,juror the,juror the Drama|Thriller
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785.0,white balloon the,white balloon the Children|Drama
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400.0,things to do in denver when you re dead,things to do in denver when you re dead Crime|Drama|Romance
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880.0,antonia s line,antonia s line Comedy|Drama
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599.0,once upon a time when we were colored,once upon a time when we were colored Drama|Romance
85,Angels and Insects (1995),Drama|Romance,112365,8447.0,angels and insects,angels and insects Drama|Romance
86,White Squall (1996),Action|Adventure|Drama,118158,10534.0,white squall,white squall Action|Adventure|Drama
87,Dunston Checks In (1996),Children|Comedy,116151,17414.0,dunston checks in,dunston checks in Children|Comedy
88,Black Sheep (1996),Comedy,115697,13997.0,black sheep,black sheep Comedy
89,Nick of Time (1995),Action|Thriller,113972,2086.0,nick of time,nick of time Action|Thriller
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095.0,mary reilly,mary reilly Drama|Horror|Thriller
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158.0,vampire in brooklyn,vampire in brooklyn Comedy|Horror|Romance
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639,9283.0,beautiful girls,beautiful girls Comedy|Drama|Romance
95,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208.0,broken arrow,broken arrow Action|Adventure|Thriller
96,In the Bleak Midwinter (1995),Comedy|Drama,113403,40154.0,in the bleak midwinter,in the bleak midwinter Comedy|Drama
97,"Hate (Haine, La) (1995)",Crime|Drama,113247,406.0,hate,hate Crime|Drama
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,63076.0,heidi fleiss hollywood madam,heidi fleiss hollywood madam Documentary
100,City Hall (1996),Drama|Thriller,115907,11062.0,city hall,city hall Drama|Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685.0,bottle rocket,bottle rocket Adventure|Comedy|Crime|Romance
102,Mr. Wrong (1996),Comedy,117102,47475.0,mr wrong,mr wrong Comedy
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040,2045.0,unforgettable,unforgettable Mystery|Sci-Fi|Thriller
104,Happy Gilmore (1996),Comedy,116483,9614.0,happy gilmore,happy gilmore Comedy
105,"Bridges of Madison County, The (1995)",Drama|Romance,112579,688.0,bridges of madison county the,bridges of madison county the Drama|Romance
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251,11907.0,nobody loves me,nobody loves me Comedy|Drama
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110,10874.0,muppet treasure island,muppet treasure island Adventure|Children|Comedy|Musical
108,Catwalk (1996),Documentary,112646,89333.0,catwalk,catwalk Documentary
110,Braveheart (1995),Action|Drama|War,112573,197.0,braveheart,braveheart Action|Drama|War
111,Taxi Driver (1976),Crime|Drama|Thriller,75314,103.0,taxi driver,taxi driver Crime|Drama|Thriller
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,113326,33542.0,rumble in the bronx,rumble in the bronx Action|Adventure|Comedy|Crime
113,Before and After (1996),Drama|Mystery,115645,43566.0,before and after,before and after Drama|Mystery
116,Anne Frank Remembered (1995),Documentary,112373,51352.0,anne frank remembered,anne frank remembered Documentary
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,115033,16934.0,young poisoner s handbook the,young poisoner s handbook the Crime|Drama
118,If Lucy Fell (1996),Comedy|Romance,116606,10324.0,if lucy fell,if lucy fell Comedy|Romance
119,"Steal Big, Steal Little (1995)",Comedy,114536,78406.0,steal big steal little,steal big steal little Comedy
121,"Boys of St. Vincent, The (1992)",Drama,106473,32119.0,boys of st vincent the,boys of st vincent the Drama
122,Boomerang (1992),Comedy|Romance,103859,11066.0,boomerang,boomerang Comedy|Romance
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,109424,11104.0,chungking express,chungking express Drama|Mystery|Romance
125,Flirting With Disaster (1996),Comedy,116324,2074.0,flirting with disaster,flirting with disaster Comedy
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,110647,27793.0,neverending story iii the,neverending story iii the Adventure|Children|Fantasy
128,Jupiter's Wife (1994),Documentary,110217,290157.0,jupiter s wife,jupiter s wife Documentary
129,Pie in the Sky (1996),Comedy|Romance,114131,110972.0,pie in the sky,pie in the sky Comedy|Romance
132,Jade (1995),Thriller,113451,11863.0,jade,jade Thriller
135,Down Periscope (1996),Comedy,116130,9101.0,down periscope,down periscope Comedy
137,Man of the Year (1995),Documentary,113756,5757.0,man of the year,man of the year Documentary
140,Up Close and Personal (1996),Drama|Romance,118055,9302.0,up close and personal,up close and personal Drama|Romance
141,"Birdcage, The (1996)",Comedy,115685,11000.0,birdcage the,birdcage the Comedy
144,"Brothers McMullen, The (1995)",Comedy,112585,16388.0,brothers mcmullen the,brothers mcmullen the Comedy
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442,9737.0,bad boys,bad boys Action|Comedy|Crime|Drama|Thriller
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,112342,30765.0,amazing panda adventure the,amazing panda adventure the Adventure|Children
147,"Basketball Diaries, The (1995)",Drama,112461,10474.0,basketball diaries the,basketball diaries the Drama
148,"Awfully Big Adventure, An (1995)",Drama,112427,22279.0,awfully big adventure an,awfully big adventure an Drama
149,Amateur (1994),Crime|Drama|Thriller,109093,30157.0,amateur,amateur Crime|Drama|Thriller
150,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568.0,apollo 13,apollo 13 Adventure|Drama|IMAX
151,Rob Roy (1995),Action|Drama|Romance|War,114287,11780.0,rob roy,rob roy Action|Drama|Romance|War
152,"Addiction, The (1995)",Drama|Horror,112288,34996.0,addiction the,addiction the Drama|Horror
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,414.0,batman forever,batman forever Action|Adventure|Comedy|Crime
154,Beauty of the Day (Belle de jour) (1967),Drama,61395,649.0,beauty of the day,beauty of the day Drama
155,Beyond Rangoon (1995),Adventure|Drama|War,112495,1873.0,beyond rangoon,beyond rangoon Adventure|Drama|War
156,Blue in the Face (1995),Comedy|Drama,112541,5894.0,blue in the face,blue in the face Comedy|Drama
157,Canadian Bacon (1995),Comedy|War,109370,1775.0,canadian bacon,canadian bacon Comedy|War
158,Casper (1995),Adventure|Children,112642,8839.0,casper,casper Adventure|Children
159,Clockers (1995),Crime|Drama|Mystery,112688,20649.0,clockers,clockers Crime|Drama|Mystery
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715,10329.0,congo,congo Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide (1995),Drama|Thriller|War,112740,8963.0,crimson tide,crimson tide Drama|Thriller|War
162,Crumb (1994),Documentary,109508,26564.0,crumb,crumb Documentary
163,Desperado (1995),Action|Romance|Western,112851,8068.0,desperado,desperado Action|Romance|Western
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,112857,8512.0,devil in a blue dress,devil in a blue dress Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,112864,1572.0,die hard with a vengeance,die hard with a vengeance Action|Crime|Thriller
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,112887,13552.0,doom generation the,doom generation the Comedy|Crime|Drama
168,First Knight (1995),Action|Drama|Romance,113071,6520.0,first knight,first knight Action|Drama|Romance
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,113114,9073.0,free willy 2 the adventure home,free willy 2 the adventure home Adventure|Children|Drama
170,Hackers (1995),Action|Adventure|Crime|Thriller,113243,10428.0,hackers,hackers Action|Adventure|Crime|Thriller
171,Jeffrey (1995),Comedy|Drama,113464,17447.0,jeffrey,jeffrey Comedy|Drama
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481,9886.0,johnny mnemonic,johnny mnemonic Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Action|Crime|Sci-Fi,113492,9482.0,judge dredd,judge dredd Action|Crime|Sci-Fi
174,Jury Duty (1995),Comedy,113500,19326.0,jury duty,jury duty Comedy
175,Kids (1995),Drama,113540,9344.0,kids,kids Drama
176,Living in Oblivion (1995),Comedy,113677,9071.0,living in oblivion,living in oblivion Comedy
177,Lord of Illusions (1995),Horror,113690,8973.0,lord of illusions,lord of illusions Horror
178,Love & Human Remains (1993),Comedy|Drama,107447,15730.0,love human remains,love human remains Comedy|Drama
179,Mad Love (1995),Drama|Romance,113729,47608.0,mad love,mad love Drama|Romance
180,Mallrats (1995),Comedy|Romance,113749,2293.0,mallrats,mallrats Comedy|Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,113820,9070.0,mighty morphin power rangers the movie,mighty morphin power rangers the movie Action|Children
183,Mute Witness (1994),Comedy|Horror|Thriller,110604,48787.0,mute witness,mute witness Comedy|Horror|Thriller
184,Nadja (1994),Drama,110620,34574.0,nadja,nadja Drama
185,"Net, The (1995)",Action|Crime|Thriller,113957,1642.0,net the,net the Action|Crime|Thriller
186,Nine Months (1995),Comedy|Romance,113986,11472.0,nine months,nine months Comedy|Romance
187,Party Girl (1995),Comedy,114095,36196.0,party girl,party girl Comedy
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,114194,11980.0,prophecy the,prophecy the Fantasy|Horror|Mystery
189,Reckless (1995),Comedy|Fantasy,114241,58372.0,reckless,reckless Comedy|Fantasy
190,Safe (1995),Thriller,114323,32646.0,safe,safe Thriller
191,"Scarlet Letter, The (1995)",Drama|Romance,114345,10533.0,scarlet letter the,scarlet letter the Drama|Romance
193,Showgirls (1995),Drama,114436,10802.0,showgirls,showgirls Drama
194,Smoke (1995),Comedy|Drama,114478,10149.0,smoke,smoke Comedy|Drama
195,Something to Talk About (1995),Comedy|Drama|Romance,114496,18402.0,something to talk about,something to talk about Comedy|Drama|Romance
196,Species (1995),Horror|Sci-Fi,114508,9348.0,species,species Horror|Sci-Fi
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281.0,strange days,strange days Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,58450,5967.0,umbrellas of cherbourg the,umbrellas of cherbourg the Drama|Musical|Romance
201,Three Wishes (1995),Drama|Fantasy,114663,47939.0,three wishes,three wishes Drama|Fantasy
202,Total Eclipse (1995),Drama|Romance,114702,36834.0,total eclipse,total eclipse Drama|Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,114682,9090.0,to wong foo thanks for everything julie newmar,to wong foo thanks for everything julie newmar Comedy
204,Under Siege 2: Dark Territory (1995),Action,114781,3512.0,under siege 2 dark territory,under siege 2 dark territory Action
205,Unstrung Heroes (1995),Comedy|Drama,114798,52856.0,unstrung heroes,unstrung heroes Comedy|Drama
206,Unzipped (1995),Documentary,114805,77350.0,unzipped,unzipped Documentary
207,"Walk in the Clouds, A (1995)",Drama|Romance,114887,9560.0,walk in the clouds a,walk in the clouds a Drama|Romance
208,Waterworld (1995),Action|Adventure|Sci-Fi,114898,9804.0,waterworld,waterworld Action|Adventure|Sci-Fi
209,White Man's Burden (1995),Drama,114928,31611.0,white man s burden,white man s burden Drama
210,Wild Bill (1995),Western,114938,65796.0,wild bill,wild bill Western
211,"Browning Version, The (1994)",Drama,109340,49805.0,browning version the,browning version the Drama
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,112602,26258.0,bushwhacked,bushwhacked Adventure|Comedy|Crime|Mystery
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,111579,50797.0,burnt by the sun,burnt by the sun Drama
214,Before the Rain (Pred dozhdot) (1994),Drama|War,110882,19155.0,before the rain,before the rain Drama|War
215,Before Sunrise (1995),Drama|Romance,112471,76.0,before sunrise,before sunrise Drama|Romance
216,Billy Madison (1995),Comedy,112508,11017.0,billy madison,billy madison Comedy
217,"Babysitter, The (1995)",Drama|Thriller,112438,37141.0,babysitter the,babysitter the Drama|Thriller
218,Boys on the Side (1995),Comedy|Drama,112571,9382.0,boys on the side,boys on the side Comedy|Drama
219,"Cure, The (1995)",Drama,112757,6715.0,cure the,cure the Drama
220,Castle Freak (1995),Horror,112643,18256.0,castle freak,castle freak Horror
222,Circle of Friends (1995),Drama|Romance,112679,22625.0,circle of friends,circle of friends Drama|Romance
223,Clerks (1994),Comedy,109445,2292.0,clerks,clerks Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,112883,1909.0,don juan demarco,don juan demarco Comedy|Drama|Romance
225,Disclosure (1994),Drama|Thriller,109635,8984.0,disclosure,disclosure Drama|Thriller
227,Drop Zone (1994),Action|Thriller,109676,4954.0,drop zone,drop zone Action|Thriller
228,Destiny Turns on the Radio (1995),Comedy,112854,62488.0,destiny turns on the radio,destiny turns on the radio Comedy
229,Death and the Maiden (1994),Drama|Thriller,109579,10531.0,death and the maiden,death and the maiden Drama|Thriller
230,Dolores Claiborne (1995),Drama|Thriller,109642,11929.0,dolores claiborne,dolores claiborne Drama|Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,109686,8467.0,dumb dumber,dumb dumber Adventure|Comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,111797,10451.0,eat drink man woman,eat drink man woman Comedy|Drama|Romance
233,Exotica (1994),Drama,109759,20156.0,exotica,exotica Drama
234,Exit to Eden (1994),Comedy,109758,18395.0,exit to eden,exit to eden Comedy
235,Ed Wood (1994),Comedy|Drama,109707,522.0,ed wood,ed wood Comedy|Drama
236,French Kiss (1995),Action|Comedy|Romance,113117,397.0,french kiss,french kiss Action|Comedy|Romance
237,Forget Paris (1995),Comedy|Romance,113097,10525.0,forget paris,forget paris Comedy|Romance
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,113028,27985.0,far from home the adventures of yellow dog,far from home the adventures of yellow dog Adventure|Children
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,113198,15789.0,goofy movie a,goofy movie a Animation|Children|Comedy|Romance
240,Hideaway (1995),Thriller,113303,27303.0,hideaway,hideaway Thriller
241,Fluke (1995),Children|Drama,113089,21183.0,fluke,fluke Children|Drama
242,Farinelli: il castrato (1994),Drama|Musical,109771,10954.0,farinelli il castrato,farinelli il castrato Drama|Musical
243,Gordy (1995),Children|Comedy|Fantasy,113199,47867.0,gordy,gordy Children|Comedy|Fantasy
246,Hoop Dreams (1994),Documentary,110057,14275.0,hoop dreams,hoop dreams Documentary
247,Heavenly Creatures (1994),Crime|Drama,110005,1024.0,heavenly creatures,heavenly creatures Crime|Drama
248,Houseguest (1994),Comedy,110066,17207.0,houseguest,houseguest Comedy
249,Immortal Beloved (1994),Drama|Romance,110116,13701.0,immortal beloved,immortal beloved Drama|Romance
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,110006,14819.0,heavyweights,heavyweights Children|Comedy
251,"Hunted, The (1995)",Action,113360,32631.0,hunted the,hunted the Action
252,I.Q. (1994),Comedy|Romance,110099,11777.0,i q,i q Comedy|Romance
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,110148,628.0,interview with the vampire the vampire chronicles,interview with the vampire the vampire chronicles Drama|Horror
254,Jefferson in Paris (1995),Drama,113463,87729.0,jefferson in paris,jefferson in paris Drama
255,"Jerky Boys, The (1995)",Comedy,110189,18713.0,jerky boys the,jerky boys the Comedy
256,Junior (1994),Comedy|Sci-Fi,110216,6280.0,junior,junior Comedy|Sci-Fi
257,Just Cause (1995),Mystery|Thriller,113501,9061.0,just cause,just cause Mystery|Thriller
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,113538,37108.0,kid in king arthur s court a,kid in king arthur s court a Adventure|Children|Comedy|Fantasy|Romance
259,Kiss of Death (1995),Crime|Drama|Thriller,113552,6071.0,kiss of death,kiss of death Crime|Drama|Thriller
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,76759,11.0,star wars episode iv a new hope,star wars episode iv a new hope Action|Adventure|Sci-Fi
261,Little Women (1994),Drama,110367,9587.0,little women,little women Drama
262,"Little Princess, A (1995)",Children|Drama,113670,19101.0,little princess a,little princess a Children|Drama
263,Ladybird Ladybird (1994),Drama,110296,49980.0,ladybird ladybird,ladybird ladybird Drama
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,103994,18183.0,like water for chocolate,like water for chocolate Drama|Fantasy|Romance
266,Legends of the Fall (1994),Drama|Romance|War|Western,110322,4476.0,legends of the fall,legends of the fall Drama|Romance|War|Western
267,Major Payne (1995),Comedy,110443,11008.0,major payne,major payne Comedy
269,My Crazy Life (Mi vida loca) (1993),Drama,107566,32325.0,my crazy life,my crazy life Drama
270,Love Affair (1994),Drama|Romance,110391,43742.0,love affair,love affair Drama|Romance
271,Losing Isaiah (1995),Drama,113691,28313.0,losing isaiah,losing isaiah Drama
272,"Madness of King George, The (1994)",Comedy|Drama,110428,11318.0,madness of king george the,madness of king george the Comedy|Drama
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,109836,3036.0,mary shelley s frankenstein,mary shelley s frankenstein Drama|Horror|Sci-Fi
274,Man of the House (1995),Comedy,113755,40490.0,man of the house,man of the house Comedy
275,Mixed Nuts (1994),Comedy,110538,24070.0,mixed nuts,mixed nuts Comedy
276,Milk Money (1994),Comedy|Romance,110516,8986.0,milk money,milk money Comedy|Romance
277,Miracle on 34th Street (1994),Drama,110527,10510.0,miracle on 34th street,miracle on 34th street Drama
278,Miami Rhapsody (1995),Comedy,113808,17402.0,miami rhapsody,miami rhapsody Comedy
279,My Family (1995),Drama,113896,38722.0,my family,my family Drama
280,Murder in the First (1995),Drama|Thriller,113870,8438.0,murder in the first,murder in the first Drama|Thriller
281,Nobody's Fool (1994),Comedy|Drama|Romance,110684,11593.0,nobody s fool,nobody s fool Comedy|Drama|Romance
282,Nell (1994),Drama,110638,1945.0,nell,nell Drama
283,New Jersey Drive (1995),Crime|Drama,113967,39310.0,new jersey drive,new jersey drive Crime|Drama
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,117169,109560.0,new york cop,new york cop Action|Crime
285,Beyond Bedlam (1993),Drama|Horror,106402,56428.0,beyond bedlam,beyond bedlam Drama|Horror
287,Nina Takes a Lover (1994),Comedy|Romance,110671,131957.0,nina takes a lover,nina takes a lover Comedy|Romance
288,Natural Born Killers (1994),Action|Crime|Thriller,110632,241.0,natural born killers,natural born killers Action|Crime|Thriller
289,Only You (1994),Comedy|Romance,110737,9058.0,only you,only you Comedy|Romance
290,Once Were Warriors (1994),Crime|Drama,110729,527.0,once were warriors,once were warriors Crime|Drama
291,Poison Ivy II (1996),Drama|Thriller,114151,18220.0,poison ivy ii,poison ivy ii Drama|Thriller
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,114069,6950.0,outbreak,outbreak Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller,110413,101.0,l on the professional,l on the professional Action|Crime|Drama|Thriller
294,"Perez Family, The (1995)",Comedy|Romance,114113,63020.0,perez family the,perez family the Comedy|Romance
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,114210,2307.0,pyromaniac s love story a,pyromaniac s love story a Comedy|Romance
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,110912,680.0,pulp fiction,pulp fiction Comedy|Crime|Drama|Thriller
298,Pushing Hands (Tui shou) (1992),Drama,105652,25296.0,pushing hands,pushing hands Drama
299,Priest (1994),Drama,110889,40156.0,priest,priest Drama
300,Quiz Show (1994),Drama,110932,11450.0,quiz show,quiz show Drama
301,Picture Bride (Bijo photo) (1994),Drama|Romance,114129,30304.0,picture bride,picture bride Drama|Romance
